GO_ID	symbol
GO:0001525	YJEFN3
GO:0001525	MEIS3P2
GO:0001525	A8K0Y1
GO:0001525	A8K147
GO:0001525	C3AR1
GO:0001525	A8K4K8
GO:0001525	A8K5R2
GO:0001525	A8K6A5
GO:0001525	A8K9V7
GO:0001525	THY1
GO:0001525	ISM1
GO:0001525	B2R627
GO:0001525	DDAH1
GO:0001525	B2R8I2
GO:0001525	B2RAG9
GO:0001525	B2RC63
GO:0001525	B4DEW5
GO:0001525	B4DG14
GO:0001525	B4DGU4
GO:0001525	B4DKC3
GO:0001525	B4DL06
GO:0001525	B4DSW9
GO:0001525	B4DV67
GO:0001525	B4E125
GO:0001525	B4E3H8
GO:0001525	B7Z356
GO:0001525	B7ZA59
GO:0001525	NRP2
GO:0001525	HEL-S-93
GO:0001525	PRKD1
GO:0001525	NODAL
GO:0001525	ITGB3
GO:0001525	CCL24
GO:0001525	PIK3CD
GO:0001525	PIK3C2A
GO:0001525	MEIS1
GO:0001525	CLDN5
GO:0001525	DLL1
GO:0001525	HSPB6
GO:0001525	ITGB1BP1
GO:0001525	TERT
GO:0001525	HGS
GO:0001525	SEMA3E
GO:0001525	ANGPT2
GO:0001525	SLC31A1
GO:0001525	TLR3
GO:0001525	FGF10
