gene,mitochondrial,mtdna_encoded,reference_only,mean_log_expr_training,clamp_delta,score_emt,score_migration_independent,score_invasion_independent,score_epithelial,z_emt,z_migration_independent,z_invasion_independent,z_epithelial,z_combined,z_combined_count_only,z_combined_quintile,z_combined_half_a,z_combined_half_b,p_empirical,fdr_bh,spearman_with_epithelial_state,direction_primary,direction_count_only,direction_quintile,stable_halves,called
SAMM50,True,False,False,0.23795911853319102,-0.28155128383685374,0.000606058981482825,-0.00038111469077143625,0.0011266982715621083,-0.0030898007602976636,-0.19040949602512597,-0.42854248923764715,-0.23313984037185445,-0.3769900652265877,-0.4751017604080399,-0.4629410498442087,-0.49192953518696436,-0.5212474440546402,-0.44270443536096715,0.5998759305210918,0.7847597600646542,0.03456767037547789,False,False,False,False,False
LIAS,True,False,False,0.07293068133314333,-0.08872753175371645,0.0032787659097664196,0.0007892837684748253,0.0021371965914033625,0.0028638294596124336,-0.06583840556246726,-0.3019220361695596,-0.17619103275352932,-0.06769021357461959,-0.47626126091093657,-0.4866351173621808,-0.07769921596015442,-0.5552360251295051,-0.4453958102461619,0.5998759305210918,0.7847597600646542,0.09302175693921295,False,False,False,False,False
MECR,True,False,False,0.14353103427099237,-0.16057813237931984,0.002655064408236757,0.0011709433182594427,0.0014210685806715518,0.0023667395494895447,-0.09490825057485824,-0.2606319056762125,-0.21654996805553614,-0.09351476595352454,-0.47857535835308235,-0.4901199738288393,0.03234844906429318,-0.3879492901727989,-0.5770187809991074,0.6004962779156328,0.7847597600646542,0.052918896738922666,False,False,False,False,False
ACO2,True,False,False,0.22489652503630717,-0.2537481894026423,0.0026584895375825193,0.0009391890114925686,0.0004315530562132594,0.0008440834335057619,-0.09474861013951456,-0.28570442272497915,-0.27231624508069147,-0.1726189920130761,-0.4801502859321092,-0.5048197930447273,-0.48781515705853545,-0.5856706991994185,-0.39020936306911447,0.6004962779156328,0.7847597600646542,0.04904539195071912,False,False,False,False,False
FAHD1,True,False,False,0.08192707092786931,-0.09782776149374488,0.0012826699042313284,0.0006730318592094509,0.001342456230696914,0.00012707071363474655,-0.1588736177087349,-0.3144988379458466,-0.22098033622857116,-0.2098688580103009,-0.4844839338728518,-0.4992617572771581,-0.05506185503095806,-0.49643950527385317,-0.5165406381370604,0.6011166253101737,0.7847597600646542,0.04445483715358431,False,False,True,False,False
ACAD9,True,False,False,0.08206924104938579,-0.10421275842990459,0.0019042054037785089,0.000874324834523213,0.0017306705041848208,0.001592630889721202,-0.1299047269858123,-0.2927218033536564,-0.19910168532787123,-0.13373085005430496,-0.487997365613035,-0.49741425808199297,-0.00627015955299115,-0.48207853706828485,-0.5337124844028766,0.6023573200992556,0.7847597600646542,0.06861232750511351,False,False,True,False,False
COQ5,True,False,False,0.06630491853947562,-0.07706350380842722,0.0018532530532025858,0.0007900930473700484,0.0010991213475707142,0.0007497319548589234,-0.1322795439946321,-0.30183448371290517,-0.234693997274696,-0.1775206901822062,-0.49128733480002706,-0.5106939131052287,0.003301001070059484,-0.5757980194294825,-0.4619556144104411,0.6023573200992556,0.7847597600646542,0.034690684886856685,False,False,False,False,False
VRK2,True,False,False,0.07619841310766114,-0.08641069912419894,0.0013963258193249437,0.0008895671218862284,0.002188547012836403,0.0017368499284492857,-0.1535762762266161,-0.29107280482973324,-0.17329706923682647,-0.1262384587507921,-0.4917076915423837,-0.5024326827243335,0.06302824906576235,-0.46076054593655247,-0.5665709435613384,0.6023573200992556,0.7847597600646542,0.02174860375173724,False,False,False,False,False
MTG2,True,False,False,0.0812372078216689,-0.08916788799772507,0.0017216953489696983,0.0007810733247020675,0.0015547063952290404,0.0011154222941271634,-0.13841126255368086,-0.3028102893129089,-0.20901852139962937,-0.15852253888487344,-0.4917175343813457,-0.5025331577603982,-0.3353667154706798,-0.5031133092363027,-0.512119323210304,0.6023573200992556,0.7847597600646542,0.05025355226588436,False,False,True,False,False
CYB5B,True,False,False,0.2805326906857087,-0.304075045476231,0.0013641947022523027,0.002338726298187668,0.004025798431696155,0.006746298750870264,-0.15507386215688218,-0.13429441023988162,-0.06975481137777748,0.13400977978632214,-0.4931328635608634,-0.49846722037437874,-0.5388106692498602,-0.5177486610303434,-0.472809799753261,0.6029776674937966,0.7847597600646542,0.022542629882021832,False,False,False,False,False
RHOD,True,False,False,1.2137634648371016,-1.1130682619975993,-0.01576120294078014,-0.0037101306667947746,-0.0006221930059135388,-0.02623045353091521,-0.9532644293393511,-0.7886946304378648,-0.33170237229370253,-1.5791810318650552,-0.49448040020586337,-0.5165679419067732,-0.650701767740842,-0.3042180474086249,-0.6938619663005643,0.6048387096774194,0.7847597600646542,0.04788995780274229,False,False,False,False,False
HIBADH,True,False,False,0.13776117413224923,-0.15731998956532559,0.0012866728689725476,0.000774086433092697,0.0011682423701269062,0.0004054433156925651,-0.15868704518272378,-0.3035661715290269,-0.23079853328564862,-0.19540699166319078,-0.4976447583342085,-0.5086984901922574,-0.18396408468393666,-0.4319959184416336,-0.5658664305433108,0.6048387096774194,0.7847597600646542,0.037508539009149154,False,False,False,False,False
CASP8,True,False,False,0.07360438448033679,-0.08100216241782202,0.0017212444706624828,0.0008822883115295546,0.002149141121832605,0.0020885876674536326,-0.13843227735399488,-0.2918602684989458,-0.17551787303406238,-0.10796516557067148,-0.49784525331633156,-0.515453033686174,-0.003162054661318539,-0.5087293800975288,-0.509320203426107,0.6048387096774194,0.7847597600646542,0.05045095980643386,False,False,False,False,False
NLN,True,False,False,0.1039013869757684,-0.11881137841327083,0.002355602940913735,0.0009647436603650266,0.0027429559251706094,0.0034930741964740975,-0.1088657260994693,-0.2829397734786786,-0.14205216177833052,-0.03500002345948118,-0.49885763789699733,-0.5136679643972194,-0.01339126721240727,-0.43381365928431415,-0.5800210067259182,0.6048387096774194,0.7847597600646542,0.06560657937955561,False,False,False,False,False
SPIRE1,True,False,False,0.08359096077448856,-0.09400387153975039,0.0020550853520781838,0.0005448389105149165,0.001924092069292073,0.0015689126786867461,-0.12287242595432196,-0.32836749021175043,-0.18820099674260105,-0.13496304602272,-0.5044778668859534,-0.5149829878606282,-0.3190288513526946,-0.5377124950152531,-0.4889421869113196,0.6073200992555832,0.7847597600646542,0.04078149227775144,False,False,True,False,False
FUNDC1,True,False,False,0.10093749802923321,-0.11283129355916098,0.001244504617984632,0.0008306528796018779,0.0012023455406640225,0.0006807133797384019,-0.16065244773130818,-0.2974464872207812,-0.22887657571287573,-0.18110630673168848,-0.5058692039332766,-0.5149514754965955,-0.350733832030607,-0.475785933935197,-0.5634852424595757,0.609181141439206,0.7847597600646542,0.03446857738251668,False,False,False,False,False
ATG9A,True,False,False,0.16418520542829423,-0.18038068510158675,0.0011090684626865117,0.0008581027898214182,0.002185311384870065,0.0017138154675866006,-0.16696493541000462,-0.29447679767512436,-0.17347942001461736,-0.12743513289153494,-0.5074860202082113,-0.5269121480266838,-0.14302072872031502,-0.5421569612437698,-0.47953324651714313,0.609181141439206,0.7847597600646542,0.03559447276366675,False,False,True,False,False
DLST,True,False,False,0.14455036918960137,-0.1675737015929994,0.0027435870853051315,0.0010315601576437992,0.0014183567581218383,0.002827094060923375,-0.0907823337762802,-0.27571117958313524,-0.2167027986517344,-0.06959867159858354,-0.5135976404125663,-0.5228469248999523,-0.322162474353603,-0.6398063354809875,-0.3999144856472502,0.6116625310173698,0.7847597600646542,0.04314213638791801,False,False,False,False,False
ACAA2,True,False,False,0.26228701671174504,-0.2917446950699306,0.000334287147728889,0.0012766815839650794,-0.0019506779616348877,-0.0024688810656105474,-0.2030763968848868,-0.24919253047496362,-0.40657200115077924,-0.34473237330406004,-0.5141085552065696,-0.5115498686332574,-0.5891610809275024,-0.3542441637062846,-0.6803657978546689,0.6116625310173698,0.7847597600646542,0.027026644050857227,False,False,False,False,False
SUCLG2,True,False,False,0.1916735750867751,-0.22583139954387763,0.0018382439430744539,0.0008494185519878016,-0.00014805878080080393,2.0055136010831582e-05,-0.13297909739337913,-0.2954163085915619,-0.30498151760148434,-0.21542847475855545,-0.51794844882787,-0.5121812198402944,-0.42945769349904295,-0.6190459030977993,-0.4250621945771095,0.6135235732009926,0.7847597600646542,0.05730497247318493,False,False,False,False,False
FOXO3,True,False,False,0.21408459860829307,-0.22418933204770494,0.0005406312129443778,-9.19367502704761e-05,0.0015710898036664026,-0.0012026035172276793,-0.19345899179554588,-0.3972575524246675,-0.2080951991566212,-0.27894739113381145,-0.5198643522430231,-0.5284418237262175,-0.6503728182547227,-0.6067303262723471,-0.4461949529488009,0.6135235732009926,0.7847597600646542,0.036802489011613905,False,False,False,False,False
