GO_ID	symbol
GO:2001222	CX3CL1
GO:2001222	RELN
GO:2001222	CAMK2B
GO:2001222	NEXMIF
GO:2001222	DAB2IP
GO:2001222	NIPBL
GO:2001222	IGSF10
GO:2001222	ADAT2
GO:2001222	GPR161
GO:2001222	ARHGEF2
GO:2001222	CUL5
GO:2001222	ULK4
GO:2001222	NTNG2
GO:2001222	KIF20B
GO:2001222	VRK1
GO:2001222	PHACTR1
GO:2001222	SEMA6A
GO:2001222	DKFZp586J1624
GO:2001222	RNF7
GO:2001222	KIF26A
GO:2001222	TBC1D24
GO:2001222	CAMK2A
GO:2001222	TNN
GO:2001222	PLAA
GO:2001222	NTNG1
GO:2001222	RAPGEF2
GO:2001222	ADGRG1
GO:2001224	SHTN1
GO:2001224	ZNF609
GO:2001224	WDR62
GO:2001224	SRGAP2C
GO:2001224	FLNA
GO:2001224	MDK
GO:2001224	RELN
GO:2001224	DAB2IP
GO:2001224	NIPBL
GO:2001224	NSMF
GO:2001224	ADAT2
GO:2001224	ARHGEF2
GO:2001224	KIF20B
GO:2001224	SEMA6A
GO:2001224	TBC1D24
GO:2001224	PLAA
GO:2001224	RAPGEF2
